game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value,random_seed,rho,n_instance,sample_size
0,"(0,)",pure,c,individual,2.239124378449528,1.0,2.239124378449528,0,0.0,1,512
0,"(1,)",pure,c,individual,2.2403796620085448,1.0,2.2403796620085448,0,0.0,1,512
0,"(2,)",pure,c,individual,2.239073297029752,1.0,2.239073297029752,0,0.0,1,512
0,"(3,)",pure,c,individual,0.2226439234108857,1.0,0.2226439234108857,0,0.0,1,512
0,"(1, 2)",pure,c,individual,4.13296174447694,1.0,4.13296174447694,0,0.0,1,512
0,"(1, 2, 3)",pure,c,individual,4.269167533138392,1.0,4.269167533138392,0,0.0,1,512
0,"(0,)",pure,c,joint,2.239124378449528,1.0,2.239124378449528,0,0.0,1,512
0,"(1,)",pure,c,joint,2.2403796620085448,1.0,2.2403796620085448,0,0.0,1,512
0,"(2,)",pure,c,joint,2.239073297029752,1.0,2.239073297029752,0,0.0,1,512
0,"(3,)",pure,c,joint,0.2226439234108857,1.0,0.2226439234108857,0,0.0,1,512
0,"(1, 2)",pure,c,joint,4.13296174447694,1.0,4.13296174447694,0,0.0,1,512
0,"(1, 2, 3)",pure,c,joint,4.269167533138392,1.0,4.269167533138392,0,0.0,1,512
0,"(0,)",pure,c,interaction,2.239124378449528,1.0,2.239124378449528,0,0.0,1,512
0,"(1,)",pure,c,interaction,2.2403796620085448,1.0,2.2403796620085448,0,0.0,1,512
0,"(2,)",pure,c,interaction,2.239073297029752,1.0,2.239073297029752,0,0.0,1,512
0,"(3,)",pure,c,interaction,0.2226439234108857,1.0,0.2226439234108857,0,0.0,1,512
0,"(1, 2)",pure,c,interaction,-0.3464912145613561,1.0,-0.3464912145613561,0,0.0,1,512
0,"(1, 2, 3)",pure,c,interaction,0.5982293683503705,1.0,0.5982293683503705,0,0.0,1,512
0,"(0,)",pure,b,individual,1.9736392547447343,1.0,1.9736392547447343,0,0.0,1,512
0,"(1,)",pure,b,individual,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",pure,b,individual,2.003654503032179,1.0,2.003654503032179,0,0.0,1,512
0,"(3,)",pure,b,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,b,individual,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(1, 2, 3)",pure,b,individual,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(0,)",pure,b,joint,1.9736392547447343,1.0,1.9736392547447343,0,0.0,1,512
0,"(1,)",pure,b,joint,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",pure,b,joint,2.003654503032179,1.0,2.003654503032179,0,0.0,1,512
0,"(3,)",pure,b,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(1, 2, 3)",pure,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(0,)",pure,b,interaction,1.9736392547447343,1.0,1.9736392547447343,0,0.0,1,512
0,"(1,)",pure,b,interaction,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",pure,b,interaction,2.003654503032179,1.0,2.003654503032179,0,0.0,1,512
0,"(3,)",pure,b,interaction,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,b,interaction,8.881784197001252e-16,1.0,8.881784197001252e-16,0,0.0,1,512
0,"(1, 2, 3)",pure,b,interaction,0.0,1.0,0.0,0,0.0,1,512
0,"(0,)",pure,m,individual,1.8801592990084064,1.0,1.8801592990084064,0,0.0,1,512
0,"(1,)",pure,m,individual,1.9854586174422029,1.0,1.9854586174422029,0,0.0,1,512
0,"(2,)",pure,m,individual,1.8218223658593031,1.0,1.8218223658593031,0,0.0,1,512
0,"(3,)",pure,m,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,m,individual,3.807280983301509,1.0,3.807280983301509,0,0.0,1,512
0,"(1, 2, 3)",pure,m,individual,3.807280983301509,1.0,3.807280983301509,0,0.0,1,512
0,"(0,)",pure,m,joint,1.8801592990084064,1.0,1.8801592990084064,0,0.0,1,512
0,"(1,)",pure,m,joint,1.9854586174422029,1.0,1.9854586174422029,0,0.0,1,512
0,"(2,)",pure,m,joint,1.8218223658593031,1.0,1.8218223658593031,0,0.0,1,512
0,"(3,)",pure,m,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,m,joint,3.807280983301509,1.0,3.807280983301509,0,0.0,1,512
0,"(1, 2, 3)",pure,m,joint,3.807280983301509,1.0,3.807280983301509,0,0.0,1,512
0,"(0,)",pure,m,interaction,1.8801592990084064,1.0,1.8801592990084064,0,0.0,1,512
0,"(1,)",pure,m,interaction,1.9854586174422029,1.0,1.9854586174422029,0,0.0,1,512
0,"(2,)",pure,m,interaction,1.8218223658593031,1.0,1.8218223658593031,0,0.0,1,512
0,"(3,)",pure,m,interaction,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,m,interaction,2.664535259100376e-15,1.0,2.664535259100376e-15,0,0.0,1,512
0,"(1, 2, 3)",pure,m,interaction,0.0,1.0,0.0,0,0.0,1,512
0,"(0,)",partial,c,individual,2.085445030625893,1.0,2.085445030625893,0,0.0,1,512
0,"(1,)",partial,c,individual,2.0866545192491968,1.0,2.0866545192491968,0,0.0,1,512
0,"(2,)",partial,c,individual,2.085236973748507,1.0,2.085236973748507,0,0.0,1,512
0,"(3,)",partial,c,individual,0.0598023303769521,1.0,0.0598023303769521,0,0.0,1,512
0,"(1, 2)",partial,c,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2, 3)",partial,c,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(0,)",partial,c,joint,2.085445030625893,1.0,2.085445030625893,0,0.0,1,512
0,"(1,)",partial,c,joint,2.0866545192491968,1.0,2.0866545192491968,0,0.0,1,512
0,"(2,)",partial,c,joint,2.085236973748507,1.0,2.085236973748507,0,0.0,1,512
0,"(3,)",partial,c,joint,0.0598023303769523,1.0,0.0598023303769523,0,0.0,1,512
0,"(1, 2)",partial,c,joint,4.130947582888721,1.0,4.130947582888721,0,0.0,1,512
0,"(1, 2, 3)",partial,c,joint,4.173591004344706,1.0,4.173591004344706,0,0.0,1,512
0,"(0,)",partial,c,interaction,2.085445030625893,1.0,2.085445030625893,0,0.0,1,512
0,"(1,)",partial,c,interaction,2.0866545192491968,1.0,2.0866545192491968,0,0.0,1,512
0,"(2,)",partial,c,interaction,2.085236973748507,1.0,2.085236973748507,0,0.0,1,512
0,"(3,)",partial,c,interaction,0.0598023303769521,1.0,0.0598023303769521,0,0.0,1,512
0,"(1, 2)",partial,c,interaction,-0.0586104171918107,1.0,-0.0586104171918107,0,0.0,1,512
0,"(1, 2, 3)",partial,c,interaction,0.1030821672225688,1.0,0.1030821672225688,0,0.0,1,512
0,"(0,)",partial,b,individual,1.9736392547447348,1.0,1.9736392547447348,0,0.0,1,512
0,"(1,)",partial,b,individual,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",partial,b,individual,2.0036545030321795,1.0,2.0036545030321795,0,0.0,1,512
0,"(3,)",partial,b,individual,2.220446049250313e-16,1.0,2.220446049250313e-16,0,0.0,1,512
0,"(1, 2)",partial,b,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2, 3)",partial,b,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(0,)",partial,b,joint,1.973639254744735,1.0,1.973639254744735,0,0.0,1,512
0,"(1,)",partial,b,joint,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",partial,b,joint,2.0036545030321795,1.0,2.0036545030321795,0,0.0,1,512
0,"(3,)",partial,b,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",partial,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(1, 2, 3)",partial,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(0,)",partial,b,interaction,1.9736392547447348,1.0,1.9736392547447348,0,0.0,1,512
0,"(1,)",partial,b,interaction,2.008183370101892,1.0,2.008183370101892,0,0.0,1,512
0,"(2,)",partial,b,interaction,2.0036545030321795,1.0,2.0036545030321795,0,0.0,1,512
0,"(3,)",partial,b,interaction,2.220446049250313e-16,1.0,2.220446049250313e-16,0,0.0,1,512
0,"(1, 2)",partial,b,interaction,4.440892098500626e-16,1.0,4.440892098500626e-16,0,0.0,1,512
0,"(1, 2, 3)",partial,b,interaction,4.440892098500626e-16,1.0,4.440892098500626e-16,0,0.0,1,512
0,"(0,)",partial,m,individual,1.880159299008399,1.0,1.880159299008399,0,0.0,1,512
0,"(1,)",partial,m,individual,1.9854586174421969,1.0,1.9854586174421969,0,0.0,1,512
0,"(2,)",partial,m,individual,1.821822365859298,1.0,1.821822365859298,0,0.0,1,512
0,"(3,)",partial,m,individual,-2.220446049250313e-16,1.0,-2.220446049250313e-16,0,0.0,1,512
0,"(1, 2)",partial,m,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2, 3)",partial,m,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(0,)",partial,m,joint,1.8801592990083995,1.0,1.8801592990083995,0,0.0,1,512
0,"(1,)",partial,m,joint,1.9854586174421969,1.0,1.9854586174421969,0,0.0,1,512
0,"(2,)",partial,m,joint,1.821822365859298,1.0,1.821822365859298,0,0.0,1,512
0,"(3,)",partial,m,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",partial,m,joint,3.8072809833014976,1.0,3.8072809833014976,0,0.0,1,512
0,"(1, 2, 3)",partial,m,joint,3.8072809833014976,1.0,3.8072809833014976,0,0.0,1,512
0,"(0,)",partial,m,interaction,1.880159299008399,1.0,1.880159299008399,0,0.0,1,512
0,"(1,)",partial,m,interaction,1.9854586174421969,1.0,1.9854586174421969,0,0.0,1,512
0,"(2,)",partial,m,interaction,1.821822365859298,1.0,1.821822365859298,0,0.0,1,512
0,"(3,)",partial,m,interaction,-2.220446049250313e-16,1.0,-2.220446049250313e-16,0,0.0,1,512
0,"(1, 2)",partial,m,interaction,-7.105427357601002e-15,1.0,-7.105427357601002e-15,0,0.0,1,512
0,"(1, 2, 3)",partial,m,interaction,8.881784197001252e-16,1.0,8.881784197001252e-16,0,0.0,1,512
0,"(0,)",full,c,individual,2.047971320862157,1.0,2.047971320862157,0,0.0,1,512
0,"(1,)",full,c,individual,2.049119723237886,1.0,2.049119723237886,0,0.0,1,512
0,"(2,)",full,c,individual,2.047664484404608,1.0,2.047664484404608,0,0.0,1,512
0,"(3,)",full,c,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",full,c,individual,4.197611961549961,1.0,4.197611961549961,0,0.0,1,512
0,"(1, 2, 3)",full,c,individual,4.07801447555102,1.0,4.07801447555102,0,0.0,1,512
0,"(0,)",full,c,joint,2.047971320862157,1.0,2.047971320862157,0,0.0,1,512
0,"(1,)",full,c,joint,2.049119723237886,1.0,2.049119723237886,0,0.0,1,512
0,"(2,)",full,c,joint,2.047664484404608,1.0,2.047664484404608,0,0.0,1,512
0,"(3,)",full,c,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",full,c,joint,4.197611961549961,1.0,4.197611961549961,0,0.0,1,512
