n_classes,n_features,n_estimators,budget,status,error,mot_fit_time_s,mot_r2_mean,mot_r2_worst,mot_mse,opt_fit_time_s,opt_r2_mean,opt_r2_worst,opt_mse,r2_gap,fit_time_multi_s,fit_time_oneper_s,fit_time_ratio_oneper_over_multi
10,12,10,256,ok,,0.014702190999969389,0.9524250823305032,0.8338623696334634,0.00012049956428820793,0.02363866199993936,0.9720824545122767,0.909891014019466,8.564277317499799e-05,0.019657372181773547,0.014702190999969389,0.02363866199993936,1.6078326012761348
50,12,10,256,ok,,0.04883732799999052,0.8264342977216395,0.5784640477523032,5.2678247166135506e-05,0.10334775000001173,0.8930448255112643,0.714674911569692,3.052393231517158e-05,0.06661052778962484,0.04883732799999052,0.10334775000001173,2.116163071002406
100,12,10,256,ok,,0.08919921899996552,0.7847523642668475,0.4272505180919238,3.3754535883661e-05,0.19714537100003326,0.8589386596410895,0.5563881524923521,2.4300086884861543e-05,0.07418629537424204,0.08919921899996552,0.19714537100003326,2.210169250474149
250,12,10,256,ok,,0.21194639800000914,0.6451677879661057,0.23560811254322778,1.2313086367834805e-05,0.4340060680001443,0.8239952986855674,0.44806115970019134,7.767504209208031e-06,0.17882751071946168,0.21194639800000914,0.4340060680001443,2.0477161777485153
500,12,10,256,ok,,0.44731906100014385,0.6050245662712277,-0.568047713747825,4.800237175784262e-06,3.1668090089999623,0.7668219783861507,-0.017716538513021574,3.128054569462414e-06,0.16179741211492304,0.44731906100014385,3.1668090089999623,7.079530664129119
1000,12,10,256,ok,,0.8345172589999947,0.575381931616603,-1.0439946453583033,1.9901024738678778e-06,1.0799271879998287,0.6717878459924337,-0.33436277573298323,9.066344206133509e-07,0.09640591437583068,0.8345172589999947,1.0799271879998287,1.2940741205207782
