,l2,r2,order,index,weighting_scheme,game_title
9,0.003164283099552168,0.9984984401675353,9,STII,Shapley kernel,Bike Sharing Ensemble Selection
10,1.2620103291393151e-25,1.0,10,STII,Shapley kernel,Bike Sharing Ensemble Selection
1,7.78877240774413,-1.0179313888564354,1,FSII,Shapley kernel,Bike Sharing Ensemble Selection
2,2.182285538443364,0.5738200658245398,2,FSII,Shapley kernel,Bike Sharing Ensemble Selection
3,0.5841748496799264,0.8006637936524589,3,FSII,Shapley kernel,Bike Sharing Ensemble Selection
4,0.1342930797054181,0.9446406314608616,4,FSII,Shapley kernel,Bike Sharing Ensemble Selection
5,0.025045303914765088,0.9885431731664018,5,FSII,Shapley kernel,Bike Sharing Ensemble Selection
6,0.003578650934572957,0.9983288630879116,6,FSII,Shapley kernel,Bike Sharing Ensemble Selection
7,0.00036236276458395623,0.9998298926801202,7,FSII,Shapley kernel,Bike Sharing Ensemble Selection
8,2.27642314798455e-05,0.9999893076665979,8,FSII,Shapley kernel,Bike Sharing Ensemble Selection
9,6.508192307277185e-07,0.9999996942926395,9,FSII,Shapley kernel,Bike Sharing Ensemble Selection
10,2.2894903185423617e-16,0.9999999999999999,10,FSII,Shapley kernel,Bike Sharing Ensemble Selection
1,1.2633906060700502,-1.667082628890061,1,FBII,Shapley kernel,Bike Sharing Ensemble Selection
2,0.694106576045185,-0.008222678254410587,2,FBII,Shapley kernel,Bike Sharing Ensemble Selection
3,0.3396798849998457,0.7365510203012358,3,FBII,Shapley kernel,Bike Sharing Ensemble Selection
4,0.14513944734135054,0.9113108655821709,4,FBII,Shapley kernel,Bike Sharing Ensemble Selection
5,0.05106284060081538,0.9739053538892101,5,FBII,Shapley kernel,Bike Sharing Ensemble Selection
6,0.012525588729224723,0.9940208276361989,6,FBII,Shapley kernel,Bike Sharing Ensemble Selection
7,0.001701479716042582,0.9991975342628143,7,FBII,Shapley kernel,Bike Sharing Ensemble Selection
8,9.815227132160955e-05,0.9999539327699125,8,FBII,Shapley kernel,Bike Sharing Ensemble Selection
9,1.5970075802498924e-06,0.9999992498415716,9,FBII,Shapley kernel,Bike Sharing Ensemble Selection
10,2.2525577125144206e-25,1.0,10,FBII,Shapley kernel,Bike Sharing Ensemble Selection
