Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,SpearmanCorrelation,SpearmanCorrelation@10,SpearmanCorrelation@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
0.8,0.8,0.003690753690753691,0.1111111111111111,0.13142857142857142,0.011028052407362755,0.27305304634977595,0.22983159252097068,0.01911512276009237,0.11145720242099716,2.752577677453301,16.049837148623592,KernelSHAP,10000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.0236985236985237,-0.022222222222222223,0.1542857142857143,0.021035286552527933,-0.26651440221545475,0.18679765254776654,0.0031240426632094414,0.04470722999827998,0.4498621435021596,6.437841119752317,ShapleyGAX (400),10000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,-0.005827505827505827,0.6,-0.06612244897959184,-0.011108431798086972,0.5972894006339313,-0.0786002729768748,0.003328450638083097,0.04613268970796829,0.47929689188396596,6.643107317947434,ShapleyGAX (500),10000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.11616161616161616,0.28888888888888886,0.09387755102040816,0.15606060606060607,0.24647699867166334,0.1617443259837267,0.0030876549508273266,0.03608706125848708,0.444622312919135,5.19653682122214,PermutationSamplingSV,10000,ILSVRC2012_val_00000242.JPEG
0.8,0.8,0.07614607614607614,0.5111111111111111,0.21959183673469387,0.10802186319427698,0.6072793759381874,0.33215136196065786,0.011751984189892194,0.08567813876325991,1.692285723344476,12.337651981909428,KernelSHAP,15000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.0027195027195027195,0.28888888888888886,-0.03346938775510204,-0.0011695201350373763,0.23568833073653508,-0.052391443315793366,0.0019452700762122052,0.03461627240331362,0.28011889097455756,4.984743226077161,ShapleyGAX (400),15000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.000777000777000777,0.4222222222222222,0.04326530612244898,-0.0021581866409452616,0.3725092761964575,0.07272791032986382,0.0019459858750890224,0.03583435516684021,0.28022196601281923,5.1601471440249895,ShapleyGAX (500),15000,ILSVRC2012_val_00000242.JPEG
0.9,0.8,0.11344211344211344,0.1111111111111111,0.19673469387755102,0.15248372317337835,0.03887504692068234,0.27631296711584197,0.002084773868153117,0.029672517907755255,0.30020743701404884,4.272842578716757,PermutationSamplingSV,15000,ILSVRC2012_val_00000242.JPEG
0.3,0.4,0.10994560994560995,0.37777777777777777,0.09387755102040816,0.15829113415320314,0.7358572906859255,0.1157311632483968,0.0472877921938987,0.17862397177167313,6.809442075921412,25.72185193512093,KernelSHAP,10000,ILSVRC2012_val_00000994.jpg
0.4,0.6,0.04759129759129759,-0.1111111111111111,0.14285714285714285,0.0690338397234949,0.21676160207538733,0.17721440246297346,0.007779005628755599,0.06922007843827085,1.1201768105408063,9.967691295111003,ShapleyGAX (400),10000,ILSVRC2012_val_00000994.jpg
0.5,0.6,0.017482517482517484,-0.022222222222222223,-0.005714285714285714,0.020428422152560088,-0.027384629609585452,-0.01885623637388003,0.007949567152381562,0.07049519324629,1.1447376699429448,10.15130782746576,ShapleyGAX (500),10000,ILSVRC2012_val_00000994.jpg
0.6,0.4,0.04895104895104895,-0.28888888888888886,0.09387755102040816,0.06897355518045174,-0.2606103083529557,0.13639413774341594,0.004845232653612686,0.05089429301962797,0.6977135021202268,7.328778194826429,PermutationSamplingSV,10000,ILSVRC2012_val_00000994.jpg
0.5,0.4,-0.006021756021756021,-0.4666666666666666,-0.038367346938775505,-0.0068724379069206665,-0.5525745414507051,-0.0773106416980189,0.02786159833770305,0.1316260081216677,4.012070160629239,18.954145169520146,KernelSHAP,15000,ILSVRC2012_val_00000994.jpg
0.6,0.6,-0.001554001554001554,0.1111111111111111,0.015510204081632652,-0.003990836749457439,0.2647083655544991,0.020475860242235557,0.0049956155769266715,0.05763171846548411,0.7193686430774408,8.298967459029711,ShapleyGAX (400),15000,ILSVRC2012_val_00000994.jpg
0.6,0.8,-0.03885003885003885,-0.022222222222222223,-0.11020408163265306,-0.06310987862712002,-0.029361442041163848,-0.2134912930011116,0.004760202791351347,0.05597671030892158,0.685469201954594,8.060646284484708,ShapleyGAX (500),15000,ILSVRC2012_val_00000994.jpg
0.7,0.4,-0.000777000777000777,0.19999999999999998,-0.12489795918367345,0.0012257857085443292,0.3013840983937046,-0.1616369013496542,0.0031871576603786245,0.04113688981478049,0.45895070309452196,5.92371213332839,PermutationSamplingSV,15000,ILSVRC2012_val_00000994.jpg
0.4,0.2,0.04700854700854701,-0.06666666666666667,0.044897959183673466,0.06659834418455109,-0.008426073069829723,0.06573846396095855,0.03720030561050253,0.15941045923326758,5.356844007912365,22.955106129590533,KernelSHAP,10000,ILSVRC2012_val_00001143.JPEG
0.8,0.8,-0.0641025641025641,-0.3333333333333333,0.04,-0.09304316373281891,-0.5083034918599029,0.04880072595196957,0.005643808455328931,0.06120388554039935,0.812708417567366,8.813359517817506,ShapleyGAX (400),10000,ILSVRC2012_val_00001143.JPEG
0.7,0.8,0.024864024864024864,-0.15555555555555553,0.06285714285714286,0.03531870428422153,-0.13318794012485494,0.11153298453702408,0.006333657084081412,0.06364838886398173,0.9120466201077234,9.16536799641337,ShapleyGAX (500),10000,ILSVRC2012_val_00001143.JPEG
0.5,0.4,-0.06973581973581973,0.15555555555555553,-0.09061224489795917,-0.11275219033839724,0.3086366213566507,-0.13914412941546533,0.0033081009324542952,0.04214971086159393,0.4763665342734185,6.069558364069525,PermutationSamplingSV,10000,ILSVRC2012_val_00001143.JPEG
0.4,0.4,0.008158508158508158,-0.15555555555555553,0.11836734693877553,0.0013785065509203443,-0.2083922322546713,0.11731096167191113,0.022914695492171188,0.11961063484179421,3.299716150872651,17.223931417218367,KernelSHAP,15000,ILSVRC2012_val_00001143.JPEG
0.8,0.6,-0.015151515151515152,-0.06666666666666667,-0.059591836734693884,-0.02848243710312676,-0.05982228611624552,-0.03793206173336979,0.0035572942426165106,0.04602697234608069,0.5122503709367775,6.627884017835619,ShapleyGAX (400),15000,ILSVRC2012_val_00001143.JPEG
0.8,0.6,-0.038655788655788656,0.1111111111111111,-0.13142857142857142,-0.056579053130777275,0.1377751383360056,-0.1845414405457891,0.004045668908881187,0.049710997307494446,0.5825763228788909,7.1583836122792,ShapleyGAX (500),15000,ILSVRC2012_val_00001143.JPEG
0.7,0.4,0.06507381507381507,0.022222222222222223,-0.005714285714285714,0.09038260589984727,0.20306380991043702,-0.0469677331411079,0.0022132855239074085,0.03523205193020316,0.31871311544266684,5.073415477949255,PermutationSamplingSV,15000,ILSVRC2012_val_00001143.JPEG
0.8,1.0,0.12412587412587413,-0.1111111111111111,0.09387755102040816,0.1758138413310827,-0.04554197173082498,0.11926018400861273,0.002795140398113128,0.042421385902613115,0.40250021732829044,6.108679569976289,KernelSHAP,10000,ILSVRC2012_val_00000115.JPEG
0.9,1.0,0.10703185703185704,0.24444444444444444,-0.13795918367346938,0.1332047263081746,0.6738024391137707,-0.2562449279827855,0.0011315606578708843,0.027173115214078742,0.16294473473340734,3.912928590827339,ShapleyGAX (400),10000,ILSVRC2012_val_00000115.JPEG
0.9,1.0,0.08857808857808856,0.022222222222222223,0.013877551020408163,0.11215336387750181,0.16905370658196295,-0.04857606983282876,0.0011271754866228503,0.027507765498874914,0.16231327007369045,3.9611182318379874,ShapleyGAX (500),10000,ILSVRC2012_val_00000115.JPEG
0.8,1.0,0.23096348096348093,-0.06666666666666667,0.1853061224489796,0.32266296921469334,0.046531762913738985,0.23957754620520194,0.001982881815388628,0.026786999004302058,0.2855349814159624,3.8573278566194964,PermutationSamplingSV,10000,ILSVRC2012_val_00000115.JPEG
0.8,1.0,0.06507381507381507,-0.022222222222222223,-0.07755102040816327,0.09747206816172334,0.03791190316859256,-0.13832826430360964,0.002003282670099511,0.03632065511608163,0.2884727044943296,5.230174336715755,KernelSHAP,15000,ILSVRC2012_val_00000115.JPEG
