Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,SpearmanCorrelation,SpearmanCorrelation@10,SpearmanCorrelation@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
1.0,0.8,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3323529411764706,0.4555096924333325,0.3323529411764706,0.0002169319215380856,0.010625631761741569,0.0034709107446093696,0.1700101081878651,KernelSHAP,2000,0
1.0,1.0,0.7666666666666667,0.6444444444444444,0.7666666666666667,0.8823529411764707,0.7965367965367967,0.8823529411764707,3.0199970226198777e-05,0.004246605337717656,0.0004831995236191804,0.06794568540348249,ShapleyGAX (50),2000,0
1.0,0.8,0.5499999999999999,0.5111111111111111,0.5499999999999999,0.7411764705882353,0.7478354978354979,0.7411764705882353,4.719621739086343e-05,0.0057157765947963655,0.0007551394782538149,0.09145242551674185,ShapleyGAX (2-add),2000,0
1.0,1.0,0.38333333333333336,0.06666666666666667,0.38333333333333336,0.4705882352941176,0.03896103896103896,0.4705882352941176,0.00018829863762254362,0.009904035777198797,0.003012778201960698,0.15846457243518075,PermutationSamplingSV,2000,0
1.0,0.8,0.5,0.4222222222222222,0.5,0.6970588235294117,0.5344085998986904,0.6970588235294117,2.7439917785424705e-05,0.004217209557015529,0.0004390386845667953,0.06747535291224846,SVARM,2000,0
1.0,0.8,-0.016666666666666666,-0.022222222222222223,-0.016666666666666666,-0.03529411764705882,-0.07709750566893425,-0.03529411764705882,6.67376507951643e-05,0.0070729209255303745,0.0010678024127226287,0.11316673480848599,KernelSHAP,5000,0
1.0,1.0,0.5,0.4666666666666666,0.5,0.6352941176470589,0.6541950113378685,0.6352941176470589,8.625910354417724e-06,0.002453476745487869,0.00013801456567068358,0.0392556279278059,ShapleyGAX (50),5000,0
1.0,1.0,0.45,0.3333333333333333,0.45,0.5617647058823529,0.5124716553287981,0.5617647058823529,6.89742214915641e-06,0.002158371480838524,0.00011035875438650256,0.034533943693416384,ShapleyGAX (2-add),5000,0
1.0,1.0,0.26666666666666666,0.022222222222222223,0.26666666666666666,0.3735294117647059,0.12554112554112554,0.3735294117647059,5.691883169652987e-05,0.005614834851766287,0.0009107013071444779,0.08983735762826059,PermutationSamplingSV,5000,0
1.0,1.0,0.25,-0.15555555555555553,0.25,0.34705882352941175,-0.05442176870748304,0.34705882352941175,1.112287814363153e-05,0.0026743577089269367,0.0001779660502981045,0.04278972334283099,SVARM,5000,0
1.0,0.8,0.5499999999999999,0.3333333333333333,0.5499999999999999,0.711764705882353,0.5011337868480724,0.711764705882353,3.096271014400151e-05,0.004475028772246653,0.0004954033623040242,0.07160046035594644,KernelSHAP,10000,0
1.0,1.0,0.65,0.4666666666666666,0.65,0.7941176470588236,0.6541950113378685,0.7941176470588236,4.853686384558053e-06,0.0017219413275021127,7.765898215292884e-05,0.027551061240033804,ShapleyGAX (50),10000,0
1.0,1.0,0.6,0.3333333333333333,0.6,0.7205882352941175,0.5124716553287981,0.7205882352941175,3.861010644604719e-06,0.0015042994882587136,6.17761703136755e-05,0.024068791812139417,ShapleyGAX (2-add),10000,0
1.0,1.0,0.5333333333333333,0.5111111111111111,0.5333333333333333,0.65,0.6882086167800453,0.65,5.9471199733404295e-05,0.00599562056258025,0.0009515391957344687,0.095929929001284,PermutationSamplingSV,10000,0
1.0,1.0,0.7,0.4666666666666666,0.7,0.8205882352941177,0.6541950113378685,0.8205882352941177,3.4636596504639923e-06,0.001590160696088712,5.541855440742388e-05,0.025442571137419392,SVARM,10000,0
1.0,1.0,0.5499999999999999,0.4666666666666666,0.5499999999999999,0.7147058823529412,0.6541950113378685,0.7147058823529412,1.0343263510203198e-05,0.0026532051894997567,0.00016549221616325117,0.04245128303199611,KernelSHAP,20000,0
1.0,1.0,0.5499999999999999,0.4666666666666666,0.5499999999999999,0.7147058823529412,0.6541950113378685,0.7147058823529412,1.5737839302398558e-06,0.0011182654629377205,2.5180542883837693e-05,0.017892247407003528,ShapleyGAX (50),20000,0
1.0,1.0,0.8166666666666667,0.9999999999999999,0.8166666666666667,0.8941176470588235,0.9999999999999998,0.8941176470588235,1.2520649894248321e-06,0.0008754007333097683,2.0033039830797314e-05,0.014006411732956293,ShapleyGAX (2-add),20000,0
1.0,1.0,0.5,0.37777777777777777,0.5,0.6205882352941177,0.546485260770975,0.6205882352941177,3.083769238998887e-05,0.004569589965654425,0.000493403078239822,0.0731134394504708,PermutationSamplingSV,20000,0
1.0,1.0,0.6666666666666667,0.6888888888888888,0.6666666666666667,0.8205882352941177,0.8582766439909297,0.8205882352941177,1.4023753430676908e-06,0.0009375444571912655,2.2438005489083052e-05,0.015000711315060249,SVARM,20000,0
1.0,1.0,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.8529411764705882,0.7390396659707725,0.8529411764705882,4.100904194424766e-05,0.004686946591389503,0.0006561446711079626,0.07499114546223205,KernelSHAP,2000,1
0.9,1.0,0.7999999999999999,0.6444444444444444,0.7999999999999999,0.8823529411764707,0.8041662351547085,0.8823529411764707,8.494481064633289e-06,0.002476708579244537,0.00013591169703413262,0.039627337267912593,ShapleyGAX (50),2000,1
1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.006770897609636e-06,0.0016752934865525617,6.410833436175418e-05,0.026804695784840987,ShapleyGAX (2-add),2000,1
1.0,1.0,0.65,0.911111111111111,0.65,0.7470588235294118,0.9855181567424326,0.7470588235294118,5.046990281143737e-05,0.00593548784427274,0.000807518444982998,0.09496780550836384,PermutationSamplingSV,2000,1
